date,label,t_value,horizon,future_ret
2022-07-23 05:00:00,-1,-10.381895229739957,14.0,-0.0369385792787188
2022-07-23 06:00:00,-1,-8.918461498112732,13.0,-0.03228612898712924
2022-07-23 07:00:00,-1,-7.493928485198145,12.0,-0.024662037118635127
2022-07-23 08:00:00,-1,-6.5208178789249835,11.0,-0.030607865463782136
2022-07-23 09:00:00,1,5.62118748561761,36.0,0.004349788484344197
2022-07-23 10:00:00,1,7.02555736353874,36.0,0.0064598628657097645
2022-07-23 11:00:00,1,9.336160892963902,35.0,0.016318988356301523
2022-07-23 12:00:00,1,10.482100294541782,34.0,0.027556059767072316
2022-07-23 13:00:00,1,9.983099681440542,33.0,0.024774168058473878
2022-07-23 14:00:00,1,9.703116945396928,32.0,0.022794997378597692
2022-07-23 15:00:00,1,9.624195499006545,31.0,0.0244522041992441
2022-07-23 16:00:00,1,9.299636058528773,30.0,0.02801886240085749
2022-07-23 17:00:00,1,8.6448307443111,29.0,0.03097672905976734
2022-07-23 18:00:00,1,7.904262927569223,28.0,0.03194625289351838
2022-07-23 19:00:00,1,7.213318973070467,27.0,0.031167692940172076
2022-07-23 20:00:00,1,6.576099011822049,26.0,0.02312967860504722
2022-07-23 21:00:00,1,5.93276481849261,25.0,0.025317365484650578
2022-07-23 22:00:00,1,5.237183963040713,24.0,0.024415421210897126
2022-07-23 23:00:00,-1,-4.701014691738412,36.0,-0.02115588122826828
2022-07-24 00:00:00,-1,-5.319244950564384,36.0,-0.03331089280810706
2022-07-24 01:00:00,-1,-5.67536439046561,36.0,-0.025536447353822322
2022-07-24 02:00:00,-1,-6.202375938043171,36.0,-0.024763613960838926
2022-07-24 03:00:00,-1,-7.061401612344837,36.0,-0.025839459035112755
2022-07-24 04:00:00,-1,-7.839945293296326,36.0,-0.018739177319689215
2022-07-24 05:00:00,-1,-8.890015379703927,36.0,-0.019992507826645523
2022-07-24 06:00:00,-1,-10.130570585953205,36.0,-0.03885731906083423
2022-07-24 07:00:00,-1,-10.630514616912459,36.0,-0.050514803338980174
2022-07-24 08:00:00,-1,-10.202917134332223,35.0,-0.04480089716589164
2022-07-24 09:00:00,-1,-10.080171043541055,34.0,-0.04502858151802058
2022-07-24 10:00:00,-1,-9.905940368368176,33.0,-0.04329714551042507
2022-07-24 11:00:00,-1,-9.822487593133905,32.0,-0.04099436150218094
2022-07-24 12:00:00,-1,-9.90702820595774,31.0,-0.04710224720090905
2022-07-24 13:00:00,-1,-9.52583517351366,36.0,-0.06369288253227245
2022-07-24 14:00:00,-1,-10.065519903756497,36.0,-0.06479126605049323
2022-07-24 15:00:00,-1,-10.550142051179451,36.0,-0.07359006604462204
2022-07-24 16:00:00,-1,-10.720402251824618,36.0,-0.06920883412004775
2022-07-24 17:00:00,-1,-10.91483461769372,36.0,-0.07117129018053714
2022-07-24 18:00:00,-1,-10.983547774739373,36.0,-0.07117647317366904
2022-07-24 19:00:00,-1,-10.96606559998072,36.0,-0.07060280032074162
2022-07-24 20:00:00,-1,-10.973095116764153,36.0,-0.0736427108340858
2022-07-24 21:00:00,-1,-10.842064347828304,36.0,-0.07085486692132459
2022-07-24 22:00:00,-1,-15.94782598812405,6.0,-0.046659364731653885
2022-07-24 23:00:00,-1,-10.48478363794869,36.0,-0.06880367000048615
2022-07-25 00:00:00,-1,-10.179334063122218,36.0,-0.06555614547385191
2022-07-25 01:00:00,-1,-10.119867449840996,36.0,-0.05977641090109109
2022-07-25 02:00:00,-1,-10.059871202465532,36.0,-0.05302349930725103
2022-07-25 03:00:00,-1,-10.222662829244193,36.0,-0.05043223069316405
2022-07-25 04:00:00,-1,-10.807099764878206,36.0,-0.04436580882352947
2022-07-25 05:00:00,-1,-11.50171263517268,36.0,-0.03866227699669866
2022-07-25 06:00:00,-1,-11.928799768237829,36.0,-0.04499285574074341
2022-07-25 07:00:00,-1,-12.398982682952845,36.0,-0.04925751043591331
2022-07-25 08:00:00,-1,-12.364367245989799,36.0,-0.044640169310624866
2022-07-25 09:00:00,-1,-12.104979231192006,35.0,-0.049978682293603804
2022-07-25 10:00:00,-1,-11.49546103682191,34.0,-0.046323572934357515
2022-07-25 11:00:00,-1,-10.99856303809121,33.0,-0.04855458245512034
2022-07-25 12:00:00,-1,-10.361162848193171,32.0,-0.04034619102817261
2022-07-25 13:00:00,-1,-10.054940213644501,31.0,-0.04607165791475187
2022-07-25 14:00:00,-1,-9.434334488042506,29.0,-0.04601947347460067
2022-07-25 15:00:00,-1,-8.973115831474356,28.0,-0.04579233421398454
2022-07-25 16:00:00,-1,-8.467677913836853,27.0,-0.04971705555378225
2022-07-25 17:00:00,-1,-7.784046181790663,26.0,-0.05166301859832256
2022-07-25 18:00:00,-1,-7.046304188282301,25.0,-0.04487393956615604
2022-07-25 19:00:00,-1,-6.410837753557051,24.0,-0.03672854343083243
2022-07-25 20:00:00,-1,-8.674058717451976,6.0,-0.04637745328369536
2022-07-25 21:00:00,-1,-6.503973500316295,6.0,-0.046363311290052556
2022-07-25 22:00:00,-1,-4.969034547003064,22.0,-0.046896401090275264
2022-07-25 23:00:00,-1,-5.324279225151368,21.0,-0.029991061959607435
2022-07-26 00:00:00,-1,-5.402695783111358,20.0,-0.015598710368748159
2022-07-26 01:00:00,-1,-4.629164010025929,19.0,-0.007294046276197452
2022-07-26 02:00:00,-1,-4.5038891033107396,18.0,-0.007656191518493727
2022-07-26 03:00:00,1,4.804878125199297,36.0,0.017462005069155184
2022-07-26 04:00:00,1,5.426569319938949,36.0,0.018263175339741533
2022-07-26 05:00:00,1,6.259683416768575,36.0,0.018474710458572963
2022-07-26 06:00:00,1,6.55063849171089,36.0,0.03945581450372648
2022-07-26 07:00:00,1,7.021915116970598,34.0,0.018416773722558455
2022-07-26 08:00:00,1,7.424978647052047,33.0,0.021574249751541874
2022-07-26 09:00:00,1,7.511722535770691,32.0,0.018706523336921244
2022-07-26 10:00:00,1,7.998875630425073,31.0,0.017770260987384212
2022-07-26 11:00:00,1,8.817515096927728,30.0,0.019625152468687457
2022-07-26 12:00:00,1,9.522158005792885,29.0,0.017191990644072286
2022-07-26 13:00:00,1,11.372477245681718,28.0,0.025871948657218313
2022-07-26 14:00:00,1,11.172387967610913,27.0,0.02383811811353853
2022-07-26 15:00:00,1,11.376943561209726,36.0,0.11558432832955812
2022-07-26 16:00:00,1,11.959599095806572,36.0,0.11040847143008281
2022-07-26 17:00:00,1,12.421083137611012,36.0,0.09556266980791506
2022-07-26 18:00:00,1,13.47152240368672,36.0,0.10787711339811956
2022-07-26 19:00:00,1,14.008530179353134,36.0,0.10415167132122183
2022-07-26 20:00:00,1,14.002864016981738,36.0,0.09287913871714704
